Time,BaseNavModule
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,-0.5
38,-0.5
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,-1
71,-1
72,-1
73,-1
74,-1
75,-1
76,-1
77,-1
78,-1
79,-1
80,-1
81,-1
82,-1
83,-1
84,-1
85,-1
86,-1
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,-0.5
95,-0.5
96,-0.5
97,-0.5
98,-0.5
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0.5
143,0.5
144,0.5
145,0.5
146,0.5
147,0.5
148,0.5
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1.5
207,1.5
208,1.5
209,1.5
210,1.5
211,1.5
212,1.5
213,1.5
214,1.5
215,1.5
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,1.5
241,1.5
242,1.5
243,1.5
244,1.5
245,1.5
246,1.5
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,0.5
287,0.5
288,0.5
289,0.5
290,0.5
291,0.5
292,0.5
293,0.5
294,0.5
295,0.5
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,-0.5
313,-0.5
314,-0.5
315,-0.5
316,-0.5
317,-0.5
318,-0.5
319,-0.5
320,-0.5
321,-0.5
322,-0.5
323,-0.5
324,-1
325,-1
326,-1
327,-1
328,-1
329,-1
330,-1
331,-1.5
332,-1.5
333,-1.5
334,-1.5
335,-1.5
336,-1.5
337,-1.5
338,-1.5
339,-1.5
340,-1.5
341,-1.5
342,-1.5
343,-1.5
344,-2
345,-2
346,-2.5
347,-2.5
348,-2.5
349,-2.5
350,-2.5
351,-2.5
352,-2.5
353,-2.5
354,-2.5
355,-2.5
356,-2.5
357,-3
358,-3
359,-3
360,-3
361,-3
362,-3
363,-3
364,-3
365,-3
366,-3
367,-3
368,-3
369,-3
370,-3
371,-3
372,-3.5
373,-3.5
374,-3.5
375,-3.5
376,-3.5
377,-3.5
378,-3.5
379,-3.5
380,-3.5
381,-3.5
382,-3.5
383,-3.5
384,-3.5
385,-3.5
386,-3.5
387,-3.5
388,-3.5
389,-3.5
390,-3.5
391,-3.5
392,-3.5
393,-3.5
394,-3.5
395,-3.5
396,-3.5
397,-3.5
398,-3.5
399,-3.5
400,-3.5
401,-3.5
402,-3.5
403,-3.5
404,-3.5
405,-3.5
406,-3.5
407,-3.5
408,-3.5
409,-3.5
410,-3.5
411,-3.5
412,-3.5
413,-3.5
414,-3.5
415,-3.5
416,-3.5
417,-3.5
418,-3.5
419,-3.5
420,-3.5
421,-3.5
422,-3.5
423,-3.5
424,-3.5
425,-3.5
426,-3.5
427,-3.5
428,-3.5
429,-3.5
430,-3.5
431,-3.5
432,-3.5
433,-3.5
434,-3.5
435,-3.5
436,-3.5
437,-3.5
438,-3.5
439,-3.5
440,-3.5
441,-3.5
442,-3.5
443,-3.5
444,-3.5
445,-3.5
446,-3.5
447,-3.5
448,-3.5
449,-3.5
450,-3.5
451,-3.5
452,-3.5
453,-3.5
454,-3.5
455,-3.5
456,-3.5
457,-3.5
458,-3.5
459,-3.5
460,-3.5
461,-3.5
462,-3.5
463,-3.5
464,-3.5
465,-3.5
466,-3.5
467,-3.5
468,-3.5
469,-3.5
470,-3.5
471,-3.5
472,-3.5
473,-3.5
474,-3.5
475,-3.5
476,-3.5
477,-3.5
478,-3.5
479,-3.5
480,-3.5
481,-3.5
482,-3.5
483,-3.5
484,-3.5
485,-3.5
486,-3.5
487,-3.5
488,-3.5
489,-3.5
490,-3.5
491,-3.5
492,-3.5
